Name,Impact_factor,Journal,PDF,Url,Date_published,Date_added,Title
2015-Sparse and Compositionally Robust Inference of Microbial Ecological Networks_Kurtz_PLOS Computational Biology,4.7,PLOS Computational Biology,http://jinlong.local:8668/zotero_papers/2015-Sparse%20and%20Compositionally%20Robust%20Inference%20of%20Microbial%20Ecological%20Networks_Kurtz_PLOS%20Computational%20Biology.pdf,https://dx.plos.org/10.1371/journal.pcbi.1004226,2015-05-07,2019-08-09,Sparse and Compositionally Robust Inference of Microbial Ecological Networks
2017-Computational biology - deep learning_Jones_Emerging Topics in Life Sciences,,Emerging Topics in Life Sciences,http://jinlong.local:8668/zotero_papers/2017-Computational%20biology%20-%20deep%20learning_Jones_Emerging%20Topics%20in%20Life%20Sciences.pdf,http://www.emergtoplifesci.org/lookup/doi/10.1042/ETLS20160025,2017-11-14,2019-08-09,Computational biology: deep learning
2017-Settling the score - variant prioritization and Mendelian disease_Eilbeck_Nature Reviews Genetics,33.1,Nature Reviews Genetics,http://jinlong.local:8668/zotero_papers/2017-Settling%20the%20score%20-%20variant%20prioritization%20and%20Mendelian%20disease_Eilbeck_Nature%20Reviews%20Genetics.pdf,http://www.nature.com/articles/nrg.2017.52,2017-10-01,2019-08-09,Settling the score: variant prioritization and Mendelian disease
2018-ECCB 2018 - The 17th European Conference on Computational Biology_the ECCB 2018 Steering Committee_Bioinformatics,5.6,Bioinformatics,http://jinlong.local:8668/zotero_papers/2018-ECCB%202018%20-%20The%2017th%20European%20Conference%20on%20Computational%20Biology_the%20ECCB%202018%20Steering%20Committee_Bioinformatics.pdf,https://academic.oup.com/bioinformatics/article/34/17/i595/5093250,2018-09-01,2019-08-09,ECCB 2018: The 17th European Conference on Computational Biology
2019-GenCoF - a graphical user interface to rapidly remove human genome contaminants from metagenomic datasets_Czajkowski_Bioinformatics,5.6,Bioinformatics,http://jinlong.local:8668/zotero_papers/2019-GenCoF%20-%20a%20graphical%20user%20interface%20to%20rapidly%20remove%20human%20genome%20contaminants%20from%20metagenomic%20datasets_Czajkowski_Bioinformatics.pdf,https://academic.oup.com/bioinformatics/article/35/13/2318/5209696,2019-07-01,2019-08-09,GenCoF: a graphical user interface to rapidly remove human genome contaminants from metagenomic datasets
2017-Human genetic variation and the gut microbiome in disease_Hall_Nature Reviews Genetics,33.1,Nature Reviews Genetics,http://jinlong.local:8668/zotero_papers/2017-Human%20genetic%20variation%20and%20the%20gut%20microbiome%20in%20disease_Hall_Nature%20Reviews%20Genetics.pdf,http://www.nature.com/articles/nrg.2017.63,2017-11-01,2019-08-09,Human genetic variation and the gut microbiome in disease
2018-Murine colitis reveals a disease-associated bacteriophage community_Duerkop_Nature Microbiology,15.5,Nature Microbiology,http://jinlong.local:8668/zotero_papers/2018-Murine%20colitis%20reveals%20a%20disease-associated%20bacteriophage%20community_Duerkop_Nature%20Microbiology.pdf,http://www.nature.com/articles/s41564-018-0210-y,2018-09-01,2019-08-09,Murine colitis reveals a disease-associated bacteriophage community
2019-Multi-omics of the gut microbial ecosystem in inflammatory bowel diseases_IBDMDB Investigators_Nature,42.8,Nature,http://jinlong.local:8668/zotero_papers/2019-Multi-omics%20of%20the%20gut%20microbial%20ecosystem%20in%20inflammatory%20bowel%20diseases_IBDMDB%20Investigators_Nature.pdf,http://www.nature.com/articles/s41586-019-1237-9,2019-05-01,2019-08-09,Multi-omics of the gut microbial ecosystem in inflammatory bowel diseases
2019-A new genomic blueprint of the human gut microbiota_Almeida_Nature,42.8,Nature,http://jinlong.local:8668/zotero_papers/2019-A%20new%20genomic%20blueprint%20of%20the%20human%20gut%20microbiota_Almeida_Nature.pdf,http://www.nature.com/articles/s41586-019-0965-1,2019-04-01,2019-08-09,A new genomic blueprint of the human gut microbiota
2018-Precision identification of diverse bloodstream pathogens in the gut microbiome_Tamburini_Nature Medicine,36.1,Nature Medicine,http://jinlong.local:8668/zotero_papers/2018-Precision%20identification%20of%20diverse%20bloodstream%20pathogens%20in%20the%20gut%20microbiome_Tamburini_Nature%20Medicine.pdf,http://www.nature.com/articles/s41591-018-0202-8,2018-12-01,2019-08-09,Precision identification of diverse bloodstream pathogens in the gut microbiome
2019-CAMISIM - simulating metagenomes and microbial communities_Fritz_Microbiome,11.6,Microbiome,http://jinlong.local:8668/zotero_papers/2019-CAMISIM%20-%20simulating%20metagenomes%20and%20microbial%20communities_Fritz_Microbiome.pdf,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-019-0633-6,2019-12-01,2019-08-09,CAMISIM: simulating metagenomes and microbial communities
2019-Global phylogeography and ancient evolution of the widespread human gut virus crAssphage_Edwards_Nature Microbiology,15.5,Nature Microbiology,http://jinlong.local:8668/zotero_papers/2019-Global%20phylogeography%20and%20ancient%20evolution%20of%20the%20widespread%20human%20gut%20virus%20crAssphage_Edwards_Nature%20Microbiology.pdf,http://www.nature.com/articles/s41564-019-0494-6,2019-07-08,2019-08-09,Global phylogeography and ancient evolution of the widespread human gut virus crAssphage
2019-Deep learning - new computational modelling techniques for genomics_Eraslan_Nature Reviews Genetics,33.1,Nature Reviews Genetics,http://jinlong.local:8668/zotero_papers/2019-Deep%20learning%20-%20new%20computational%20modelling%20techniques%20for%20genomics_Eraslan_Nature%20Reviews%20Genetics.pdf,http://www.nature.com/articles/s41576-019-0122-6,2019-07-01,2019-08-09,Deep learning: new computational modelling techniques for genomics
2013-Microbial phylogenetic profiling with the Pacific Biosciences sequencing platform_Fichot_Microbiome,11.6,Microbiome,http://jinlong.local:8668/zotero_papers/2013-Microbial%20phylogenetic%20profiling%20with%20the%20Pacific%20Biosciences%20sequencing%20platform_Fichot_Microbiome.pdf,https://microbiomejournal.biomedcentral.com/articles/10.1186/2049-2618-1-10,2013-12-01,2019-08-09,Microbial phylogenetic profiling with the Pacific Biosciences sequencing platform
2019-Choice of assembly software has a critical impact on virome characterisation_Sutton_Microbiome,11.6,Microbiome,http://jinlong.local:8668/zotero_papers/2019-Choice%20of%20assembly%20software%20has%20a%20critical%20impact%20on%20virome%20characterisation_Sutton_Microbiome.pdf,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-019-0626-5,2019-12-01,2019-08-09,Choice of assembly software has a critical impact on virome characterisation
2017-Oxalobacter formigenes-associated host features and microbial community structures examined using the American Gut Project_Liu_Microbiome,11.6,Microbiome,http://jinlong.local:8668/zotero_papers/2017-Oxalobacter%20formigenes-associated%20host%20features%20and%20microbial%20community%20structures%20examined%20using%20the%20American%20Gut%20Project_Liu_Microbiome.pdf,http://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-017-0316-0,2017-12-01,2019-08-09,Oxalobacter formigenes-associated host features and microbial community structures examined using the American Gut Project
2015-A complete bacterial genome assembled de novo using only nanopore sequencing data_Loman_Nature Methods,30.8,Nature Methods,http://jinlong.local:8668/zotero_papers/2015-A%20complete%20bacterial%20genome%20assembled%20de%20novo%20using%20only%20nanopore%20sequencing%20data_Loman_Nature%20Methods.pdf,http://www.nature.com/articles/nmeth.3444,2015-08-01,2019-08-09,A complete bacterial genome assembled de novo using only nanopore sequencing data
2016-A comparison of tools for the simulation of genomic next-generation sequencing data_Escalona_Nature Reviews Genetics,33.1,Nature Reviews Genetics,http://jinlong.local:8668/zotero_papers/2016-A%20comparison%20of%20tools%20for%20the%20simulation%20of%20genomic%20next-generation%20sequencing%20data_Escalona_Nature%20Reviews%20Genetics.pdf,http://www.nature.com/articles/nrg.2016.57,2016-08-01,2019-08-09,A comparison of tools for the simulation of genomic next-generation sequencing data
2019-virMine - automated detection of viral sequences from complex metagenomic samples_Garretto_PeerJ,2.4,PeerJ,http://jinlong.local:8668/zotero_papers/2019-virMine%20-%20automated%20detection%20of%20viral%20sequences%20from%20complex%20metagenomic%20samples_Garretto_PeerJ.pdf,https://peerj.com/articles/6695,2019-04-10,2019-08-09,virMine: automated detection of viral sequences from complex metagenomic samples
2017-Unicycler - Resolving bacterial genome assemblies from short and long sequencing reads_Wick_PLOS Computational Biology,4.7,PLOS Computational Biology,http://jinlong.local:8668/zotero_papers/2017-Unicycler%20-%20Resolving%20bacterial%20genome%20assemblies%20from%20short%20and%20long%20sequencing%20reads_Wick_PLOS%20Computational%20Biology.pdf,https://dx.plos.org/10.1371/journal.pcbi.1005595,2017-06-08,2019-08-09,Unicycler: Resolving bacterial genome assemblies from short and long sequencing reads
2011-Bayesian community-wide culture-independent microbial source tracking_Knights_Nature Methods,30.8,Nature Methods,http://jinlong.local:8668/zotero_papers/2011-Bayesian%20community-wide%20culture-independent%20microbial%20source%20tracking_Knights_Nature%20Methods.pdf,http://www.nature.com/articles/nmeth.1650,2011-09-01,2019-08-09,Bayesian community-wide culture-independent microbial source tracking
2014-Alignathon - a competitive assessment of whole-genome alignment methods_Earl_Genome Research,11.1,Genome Research,http://jinlong.local:8668/zotero_papers/2014-Alignathon%20-%20a%20competitive%20assessment%20of%20whole-genome%20alignment%20methods_Earl_Genome%20Research.pdf,http://genome.cshlp.org/lookup/doi/10.1101/gr.174920.114,2014-12-01,2019-08-09,Alignathon: a competitive assessment of whole-genome alignment methods
2017-Canu - scalable and accurate long-read assembly via adaptive ik-i -mer weighting and repeat separation_Koren_Genome Research,11.1,Genome Research,http://jinlong.local:8668/zotero_papers/2017-Canu%20-%20scalable%20and%20accurate%20long-read%20assembly%20via%20adaptive%20ik-i%20-mer%20weighting%20and%20repeat%20separation_Koren_Genome%20Research.pdf,http://genome.cshlp.org/lookup/doi/10.1101/gr.215087.116,2017-05-01,2019-08-09,Canu: scalable and accurate long-read assembly via adaptive <i>k</i> -mer weighting and repeat separation
"2017-The IBD interactome - an integrated view of aetiology, pathogenesis and therapy_de Souza_Nature Reviews Gastroenterology & Hepatology",29.8,Nature Reviews Gastroenterology & Hepatology,http://jinlong.local:8668/zotero_papers/2017-The%20IBD%20interactome%20-%20an%20integrated%20view%20of%20aetiology%2C%20pathogenesis%20and%20therapy_de%20Souza_Nature%20Reviews%20Gastroenterology%20%26%20Hepatology.pdf,http://www.nature.com/articles/nrgastro.2017.110,2017-12-01,2019-08-09,"The IBD interactome: an integrated view of aetiology, pathogenesis and therapy"
2013-QUAST - quality assessment tool for genome assemblies_Gurevich_Bioinformatics,5.6,Bioinformatics,http://jinlong.local:8668/zotero_papers/2013-QUAST%20-%20quality%20assessment%20tool%20for%20genome%20assemblies_Gurevich_Bioinformatics.pdf,https://academic.oup.com/bioinformatics/article-lookup/doi/10.1093/bioinformatics/btt086,2013-04-15,2019-08-09,QUAST: quality assessment tool for genome assemblies
2014-Metavir 2 - new tools for viral metagenome comparison and assembled virome analysis_Roux_BMC Bioinformatics,3.2,BMC Bioinformatics,http://jinlong.local:8668/zotero_papers/2014-Metavir%202%20-%20new%20tools%20for%20viral%20metagenome%20comparison%20and%20assembled%20virome%20analysis_Roux_BMC%20Bioinformatics.pdf,http://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-15-76,2014-01-01,2019-08-09,Metavir 2: new tools for viral metagenome comparison and assembled virome analysis
2017-Bio-Docklets - Virtualization Containers for Single-Step Execution of NGS Pipelines_Kim_Bioinformatics,,,http://jinlong.local:8668/zotero_papers/2017-Bio-Docklets%20-%20Virtualization%20Containers%20for%20Single-Step%20Execution%20of%20NGS%20Pipelines_Kim_Bioinformatics.pdf,http://biorxiv.org/lookup/doi/10.1101/116962,2017-03-15,2019-08-09,Bio-Docklets: Virtualization Containers for Single-Step Execution of NGS Pipelines
2019-New approaches for metagenome assembly with short reads_Ayling_Briefings in Bioinformatics,9.0,Briefings in Bioinformatics,http://jinlong.local:8668/zotero_papers/2019-New%20approaches%20for%20metagenome%20assembly%20with%20short%20reads_Ayling_Briefings%20in%20Bioinformatics.pdf,https://academic.oup.com/bib/advance-article/doi/10.1093/bib/bbz020/5363831,2019-02-28,2019-08-09,New approaches for metagenome assembly with short reads
2019-Big data in IBD - a look into the future_Olivera_Nature Reviews Gastroenterology & Hepatology,29.8,Nature Reviews Gastroenterology & Hepatology,http://jinlong.local:8668/zotero_papers/2019-Big%20data%20in%20IBD%20-%20a%20look%20into%20the%20future_Olivera_Nature%20Reviews%20Gastroenterology%20%26%20Hepatology.pdf,http://www.nature.com/articles/s41575-019-0102-5,2019-05-01,2019-08-09,Big data in IBD: a look into the future
2012-ART - a next-generation sequencing read simulator_Huang_Bioinformatics,5.6,Bioinformatics,http://jinlong.local:8668/zotero_papers/2012-ART%20-%20a%20next-generation%20sequencing%20read%20simulator_Huang_Bioinformatics.pdf,https://academic.oup.com/bioinformatics/article-lookup/doi/10.1093/bioinformatics/btr708,2012-02-15,2019-08-09,ART: a next-generation sequencing read simulator
2017-Virome Assembly and Annotation - A Surprise in the Namib Desert_Hesse_Frontiers in Microbiology,4.2,Frontiers in Microbiology,http://jinlong.local:8668/zotero_papers/2017-Virome%20Assembly%20and%20Annotation%20-%20A%20Surprise%20in%20the%20Namib%20Desert_Hesse_Frontiers%20in%20Microbiology.pdf,http://journal.frontiersin.org/article/10.3389/fmicb.2017.00013/full,2017-01-23,2019-08-09,Virome Assembly and Annotation: A Surprise in the Namib Desert
2019-Virome Diversity Correlates with Intestinal Microbiome Diversity in Adult Monozygotic Twins_Moreno-Gallego_Cell Host & Microbe,15.9,Cell Host & Microbe,http://jinlong.local:8668/zotero_papers/2019-Virome%20Diversity%20Correlates%20with%20Intestinal%20Microbiome%20Diversity%20in%20Adult%20Monozygotic%20Twins_Moreno-Gallego_Cell%20Host%20%26%20Microbe.pdf,https://linkinghub.elsevier.com/retrieve/pii/S1931312819300599,2019-02-01,2019-08-09,Virome Diversity Correlates with Intestinal Microbiome Diversity in Adult Monozygotic Twins
2017-Benchmarking viromics - an iin silico-i evaluation of metagenome-enabled estimates of viral community composition and diversity_Roux_PeerJ,2.4,PeerJ,http://jinlong.local:8668/zotero_papers/2017-Benchmarking%20viromics%20-%20an%20iin%20silico-i%20evaluation%20of%20metagenome-enabled%20estimates%20of%20viral%20community%20composition%20and%20diversity_Roux_PeerJ.pdf,https://peerj.com/articles/3817,2017-09-21,2019-08-09,Benchmarking viromics: an <i>in silico</i> evaluation of metagenome-enabled estimates of viral community composition and diversity
2016-Challenges in the analysis of viral metagenomes_Rose_Virus Evolution,5.5,Virus Evolution,http://jinlong.local:8668/zotero_papers/2016-Challenges%20in%20the%20analysis%20of%20viral%20metagenomes_Rose_Virus%20Evolution.pdf,https://academic.oup.com/ve/article-lookup/doi/10.1093/ve/vew022,2016-07-01,2019-08-09,Challenges in the analysis of viral metagenomes
2010-Assembly algorithms for next-generation sequencing data_Miller_Genomics,6.2,Genomics,http://jinlong.local:8668/zotero_papers/2010-Assembly%20algorithms%20for%20next-generation%20sequencing%20data_Miller_Genomics.pdf,https://linkinghub.elsevier.com/retrieve/pii/S0888754310000492,2010-06-01,2019-08-09,Assembly algorithms for next-generation sequencing data
2019-Protein-level assembly increases protein sequence recovery from metagenomic samples manyfold_Steinegger_Nature Methods,30.8,Nature Methods,http://jinlong.local:8668/zotero_papers/2019-Protein-level%20assembly%20increases%20protein%20sequence%20recovery%20from%20metagenomic%20samples%20manyfold_Steinegger_Nature%20Methods.pdf,http://www.nature.com/articles/s41592-019-0437-4,2019-07-01,2019-08-09,Protein-level assembly increases protein sequence recovery from metagenomic samples manyfold
2019-Capturing sequence diversity in metagenomes with comprehensive and scalable probe design_Viral Hemorrhagic Fever Consortium_Nature Biotechnology,36.6,Nature Biotechnology,http://jinlong.local:8668/zotero_papers/2019-Capturing%20sequence%20diversity%20in%20metagenomes%20with%20comprehensive%20and%20scalable%20probe%20design_Viral%20Hemorrhagic%20Fever%20Consortium_Nature%20Biotechnology.pdf,http://www.nature.com/articles/s41587-018-0006-x,2019-02-01,2019-08-09,Capturing sequence diversity in metagenomes with comprehensive and scalable probe design
2019-Minimum Information about an Uncultivated Virus Genome (MIUViG)_Roux_Nature Biotechnology,36.6,Nature Biotechnology,http://jinlong.local:8668/zotero_papers/2019-Minimum%20Information%20about%20an%20Uncultivated%20Virus%20Genome%20%28MIUViG%29_Roux_Nature%20Biotechnology.pdf,http://www.nature.com/articles/nbt.4306,2019-01-01,2019-08-09,Minimum Information about an Uncultivated Virus Genome (MIUViG)
2014-Persistent gut microbiota immaturity in malnourished Bangladeshi children_Subramanian_Nature,42.8,Nature,http://jinlong.local:8668/zotero_papers/2014-Persistent%20gut%20microbiota%20immaturity%20in%20malnourished%20Bangladeshi%20children_Subramanian_Nature.pdf,http://www.nature.com/articles/nature13421,2014-06-01,2019-08-09,Persistent gut microbiota immaturity in malnourished Bangladeshi children
2016-Role of toxic and bioactive secondary metabolites in colonization and bloom formation by filamentous cyanobacteria Planktothrix_Kurmayer_Harmful Algae,3.7,Harmful Algae,http://jinlong.local:8668/zotero_papers/2016-Role%20of%20toxic%20and%20bioactive%20secondary%20metabolites%20in%20colonization%20and%20bloom%20formation%20by%20filamentous%20cyanobacteria%20Planktothrix_Kurmayer_Harmful%20Algae.pdf,https://linkinghub.elsevier.com/retrieve/pii/S156898831630004X,2016-04-01,2019-08-09,Role of toxic and bioactive secondary metabolites in colonization and bloom formation by filamentous cyanobacteria Planktothrix
2019-Diversity patterns of bacteriophages infecting Aggregatibacter and Haemophilus species across clades and niches_Szafranski_The ISME Journal,,The ISME Journal,http://jinlong.local:8668/zotero_papers/2019-Diversity%20patterns%20of%20bacteriophages%20infecting%20Aggregatibacter%20and%20Haemophilus%20species%20across%20clades%20and%20niches_Szafranski_The%20ISME%20Journal.pdf,http://www.nature.com/articles/s41396-019-0450-8,2019-06-14,2019-08-09,Diversity patterns of bacteriophages infecting Aggregatibacter and Haemophilus species across clades and niches
"2015-Metagenomic Analysis of Crohnʼs Disease Patients Identifies Changes in the Virome and Microbiome Related to Disease Status and Therapy, and Detects Potential_Perez-Brocal_Inflammatory Bowel Diseases",4.3,Inflammatory Bowel Diseases,http://jinlong.local:8668/zotero_papers/2015-Metagenomic%20Analysis%20of%20Crohn%CA%BCs%20Disease%20Patients%20Identifies%20Changes%20in%20the%20Virome%20and%20Microbiome%20Related%20to%20Disease%20Status%20and%20Therapy%2C%20and%20Detects%20Potential_Perez-Brocal_Inflammatory%20Bowel%20Diseases.pdf,https://academic.oup.com/ibdjournal/article/21/11/2515-2532/4579133,2015-11-01,2019-08-09,"Metagenomic Analysis of Crohnʼs Disease Patients Identifies Changes in the Virome and Microbiome Related to Disease Status and Therapy, and Detects Potential Interactions and Biomarkers:"
2019-Bacterial and viral respiratory tract microbiota and host characteristics in children with lower respiratory tract infections - a matched case-control study_Man_The Lancet Respiratory Medicine,,The Lancet Respiratory Medicine,http://jinlong.local:8668/zotero_papers/2019-Bacterial%20and%20viral%20respiratory%20tract%20microbiota%20and%20host%20characteristics%20in%20children%20with%20lower%20respiratory%20tract%20infections%20-%20a%20matched%20case-control%20study_Man_The%20Lancet%20Respiratory%20Medicine.pdf,https://linkinghub.elsevier.com/retrieve/pii/S2213260018304491,2019-05-01,2019-08-09,Bacterial and viral respiratory tract microbiota and host characteristics in children with lower respiratory tract infections: a matched case-control study
2014-Elucidation of Insertion Elements Carried on Plasmids and iIn Vitro-i Construction of Shuttle Vectors from the Toxic Cyanobacterium Planktothrix_Christiansen_Applied and Environmental Microbiology,4.0,Applied and Environmental Microbiology,http://jinlong.local:8668/zotero_papers/2014-Elucidation%20of%20Insertion%20Elements%20Carried%20on%20Plasmids%20and%20iIn%20Vitro-i%20Construction%20of%20Shuttle%20Vectors%20from%20the%20Toxic%20Cyanobacterium%20Planktothrix_Christiansen_Applied%20and%20Environmental%20Microbiology.pdf,http://aem.asm.org/lookup/doi/10.1128/AEM.01188-14,2014-08-15,2019-08-09,Elucidation of Insertion Elements Carried on Plasmids and <i>In Vitro</i> Construction of Shuttle Vectors from the Toxic Cyanobacterium Planktothrix
2018-Overview of Virus Metagenomic Classification Methods and Their Biological Applications_Nooij_Frontiers in Microbiology,4.2,Frontiers in Microbiology,http://jinlong.local:8668/zotero_papers/2018-Overview%20of%20Virus%20Metagenomic%20Classification%20Methods%20and%20Their%20Biological%20Applications_Nooij_Frontiers%20in%20Microbiology.pdf,http://journal.frontiersin.org/article/10.3389/fmicb.2018.00749/full,2018-04-23,2019-08-09,Overview of Virus Metagenomic Classification Methods and Their Biological Applications
2019-Bacteriophages of the Human Gut - The “Known Unknown” of the Microbiome_Shkoporov_Cell Host & Microbe,15.9,Cell Host & Microbe,http://jinlong.local:8668/zotero_papers/2019-Bacteriophages%20of%20the%20Human%20Gut%20-%20The%20%E2%80%9CKnown%20Unknown%E2%80%9D%20of%20the%20Microbiome_Shkoporov_Cell%20Host%20%26%20Microbe.pdf,https://linkinghub.elsevier.com/retrieve/pii/S1931312819300575,2019-02-01,2019-08-09,Bacteriophages of the Human Gut: The “Known Unknown” of the Microbiome
2016-Bioinformatics tools for analysing viral genomic data - -EN- -FR- Des outils bio-informatiques pour l’analyse des donnees de genomique virale -ES- Herramientas_Orton_Revue Scientifique et Technique de l'OIE,,Revue Scientifique et Technique de l'OIE,http://jinlong.local:8668/zotero_papers/2016-Bioinformatics%20tools%20for%20analysing%20viral%20genomic%20data%20-%20-EN-%20-FR-%20Des%20outils%20bio-informatiques%20pour%20l%E2%80%99analyse%20des%20donnees%20de%20genomique%20virale%20-ES-%20Herramientas_Orton_Revue%20Scientifique%20et%20Technique%20de%20l%27OIE.pdf,https://doc.oie.int/dyn/portal/index.seam?page=alo&aloId=33746,2016-04-01,2019-08-09,Bioinformatics tools for analysing viral genomic data: -EN- -FR- Des outils bio-informatiques pour l’analyse des données de génomique virale -ES- Herramientas de bioinformática para analizar datos de genómica vírica
2009-Extremely High Mutation Rate of a Hammerhead Viroid_Gago_Science,41.8,Science,http://jinlong.local:8668/zotero_papers/2009-Extremely%20High%20Mutation%20Rate%20of%20a%20Hammerhead%20Viroid_Gago_Science.pdf,http://www.sciencemag.org/cgi/doi/10.1126/science.1169202,2009-03-06,2019-08-09,Extremely High Mutation Rate of a Hammerhead Viroid
2019-Taxonomic assignment of uncultivated prokaryotic virus genomes is enabled by gene-sharing networks_Bin Jang_Nature Biotechnology,36.6,Nature Biotechnology,http://jinlong.local:8668/zotero_papers/2019-Taxonomic%20assignment%20of%20uncultivated%20prokaryotic%20virus%20genomes%20is%20enabled%20by%20gene-sharing%20networks_Bin%20Jang_Nature%20Biotechnology.pdf,http://www.nature.com/articles/s41587-019-0100-8,2019-06-01,2019-08-09,Taxonomic assignment of uncultivated prokaryotic virus genomes is enabled by gene-sharing networks
"2017-Menage a trois in the human gut - interactions between host, bacteria and phages_Mirzaei_Nature Reviews Microbiology",34.2,Nature Reviews Microbiology,http://jinlong.local:8668/zotero_papers/2017-Menage%20a%20trois%20in%20the%20human%20gut%20-%20interactions%20between%20host%2C%20bacteria%20and%20phages_Mirzaei_Nature%20Reviews%20Microbiology.pdf,https://www.nature.com/articles/nrmicro.2017.30,2017-07-01,2019-08-09,"Ménage à trois in the human gut: interactions between host, bacteria and phages"
