Subject	journal	impact_factor	Cas
AGRICULTURAL ECONOMICS & POLICY	Agricultural Economics-Zemedelska Ekonomika	1.000 	Q3
AGRICULTURAL ECONOMICS & POLICY	CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE	0.950 	Q4
AGRICULTURAL ECONOMICS & POLICY	International Food and Agribusiness Management Review	0.937 	Q4
AGRICULTURAL ECONOMICS & POLICY	German Journal of Agricultural Economics	0.667 	Q4
AGRICULTURAL ECONOMICS & POLICY	Custos e Agronegocio On Line	0.390 	Q4
AGRICULTURAL ECONOMICS & POLICY	Agrekon	0.326 	Q4
AGRICULTURAL ENGINEERING	BIORESOURCE TECHNOLOGY	6.669 	Q1
AGRICULTURAL ENGINEERING	INDUSTRIAL CROPS AND PRODUCTS	4.191 	Q1
AGRICULTURAL ENGINEERING	BIOMASS & BIOENERGY	3.537 	Q1
AGRICULTURAL ENGINEERING	BIOSYSTEMS ENGINEERING	2.983 	Q2
AGRICULTURAL ENGINEERING	AQUACULTURAL ENGINEERING	2.143 	Q3
AGRICULTURAL ENGINEERING	International Journal of Agricultural and Biological Engineering	1.349 	Q4
AGRICULTURAL ENGINEERING	JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING	1.340 	Q3
AGRICULTURAL ENGINEERING	Paddy and Water Environment	1.264 	Q4
AGRICULTURAL ENGINEERING	Transactions of the ASABE	1.153 	Q3
AGRICULTURAL ENGINEERING	APPLIED ENGINEERING IN AGRICULTURE	0.740 	Q4
AGRICULTURAL ENGINEERING	Revista Brasileira de Engenharia Agricola e Ambiental	0.649 	Q4
AGRICULTURAL ENGINEERING	Engenharia Agricola	0.541 	Q4
AGRICULTURAL ENGINEERING	AMA-Agricultural Mechanization in Asia Africa and Latin America	0.148 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Annual Review of Animal Biosciences	5.200 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Journal of Animal Science and Biotechnology	3.441 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	GENETICS SELECTION EVOLUTION	3.094 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	JOURNAL OF DAIRY SCIENCE	3.082 	Q1
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	ANIMAL FEED SCIENCE AND TECHNOLOGY	2.590 	Q1
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	DOMESTIC ANIMAL ENDOCRINOLOGY	2.302 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	ANIMAL GENETICS	2.244 	Q1
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	POULTRY SCIENCE	2.027 	Q1
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Animal	2.026 	Q1
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Animal Frontiers	1.984 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Animals	1.832 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	ANIMAL REPRODUCTION SCIENCE	1.817 	Q1
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	APPLIED ANIMAL BEHAVIOUR SCIENCE	1.817 	Q1
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	ARCHIVES OF ANIMAL NUTRITION	1.786 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION	1.703 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	JOURNAL OF ANIMAL SCIENCE	1.697 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	REPRODUCTION IN DOMESTIC ANIMALS	1.638 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	JOURNAL OF ANIMAL BREEDING AND GENETICS	1.633 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Annals of Animal Science	1.515 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	JOURNAL OF REPRODUCTION AND DEVELOPMENT	1.500 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	BRITISH POULTRY SCIENCE	1.421 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	JOURNAL OF DAIRY RESEARCH	1.421 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Livestock Science	1.376 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	WORLDS POULTRY SCIENCE JOURNAL	1.364 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	ANIMAL SCIENCE JOURNAL	1.301 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Animal Production Science	1.275 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Italian Journal of Animal Science	1.265 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	ANIMAL BIOTECHNOLOGY	1.263 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES	1.227 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	SMALL RUMINANT RESEARCH	1.210 	Q2
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Archives Animal Breeding	1.157 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	JOURNAL OF APPLIED ANIMAL RESEARCH	1.092 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	TROPICAL ANIMAL HEALTH AND PRODUCTION	1.089 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	CZECH JOURNAL OF ANIMAL SCIENCE	1.008 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Animal Reproduction	0.985 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Revista Mexicana de Ciencias Pecuarias	0.884 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	JOURNAL OF ANIMAL AND FEED SCIENCES	0.875 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Avian Biology Research	0.853 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	CANADIAN JOURNAL OF ANIMAL SCIENCE	0.850 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE	0.832 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	JOURNAL OF APPLIED POULTRY RESEARCH	0.808 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Mljekarstvo	0.806 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	ANIMAL SCIENCE PAPERS AND REPORTS	0.697 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE	0.688 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	JOURNAL OF POULTRY SCIENCE	0.670 	Q3
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE	0.653 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Brazilian Journal of Poultry Science	0.607 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	World Rabbit Science	0.605 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Revista Colombiana de Ciencias Pecuarias	0.571 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	European Poultry Science	0.485 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Tropical Grasslands-Forrajes Tropicales	0.441 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Indian Journal of Animal Research	0.437 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	ITEA-Informacion Tecnica Economica Agraria	0.346 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Inra Productions Animales	0.310 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Animal Nutrition and Feed Technology	0.309 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Fourrages	0.273 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Large Animal Review	0.261 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	INDIAN JOURNAL OF ANIMAL SCIENCES	0.227 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Revista MVZ Cordoba	0.188 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	ZUCHTUNGSKUNDE	0.167 	Q4
"AGRICULTURE, DAIRY & ANIMAL SCIENCE"	Buffalo Bulletin	0.096 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	AGRICULTURAL SYSTEMS	4.131 	Q1
"AGRICULTURE, MULTIDISCIPLINARY"	AGRICULTURE ECOSYSTEMS & ENVIRONMENT	3.954 	Q1
"AGRICULTURE, MULTIDISCIPLINARY"	JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY	3.571 	Q1
"AGRICULTURE, MULTIDISCIPLINARY"	PRECISION AGRICULTURE	3.356 	Q1
"AGRICULTURE, MULTIDISCIPLINARY"	COMPUTERS AND ELECTRONICS IN AGRICULTURE	3.171 	Q1
"AGRICULTURE, MULTIDISCIPLINARY"	AGRICULTURE AND HUMAN VALUES	3.128 	Q1
"AGRICULTURE, MULTIDISCIPLINARY"	BIOSYSTEMS ENGINEERING	2.983 	Q1
"AGRICULTURE, MULTIDISCIPLINARY"	NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES	2.525 	Q2
"AGRICULTURE, MULTIDISCIPLINARY"	JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE	2.422 	Q1
"AGRICULTURE, MULTIDISCIPLINARY"	International Journal of Agricultural Sustainability	2.243 	Q2
"AGRICULTURE, MULTIDISCIPLINARY"	Journal of Land Use Science	2.045 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	RENEWABLE AGRICULTURE AND FOOD SYSTEMS	1.771 	Q2
"AGRICULTURE, MULTIDISCIPLINARY"	ANNALS OF APPLIED BIOLOGY	1.611 	Q1
"AGRICULTURE, MULTIDISCIPLINARY"	CALIFORNIA AGRICULTURE	1.442 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	SCIENTIA AGRICOLA	1.434 	Q2
"AGRICULTURE, MULTIDISCIPLINARY"	JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS	1.398 	Q2
"AGRICULTURE, MULTIDISCIPLINARY"	Agroecology and Sustainable Food Systems	1.381 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	Journal of Integrative Agriculture	1.337 	Q2
"AGRICULTURE, MULTIDISCIPLINARY"	Crop & Pasture Science	1.330 	Q2
"AGRICULTURE, MULTIDISCIPLINARY"	JOURNAL OF AGRICULTURAL SCIENCE	1.330 	Q2
"AGRICULTURE, MULTIDISCIPLINARY"	Plant Pathology Journal	1.294 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	AGRICULTURAL AND FOOD SCIENCE	1.200 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS	1.158 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	CIENCIA E AGROTECNOLOGIA	1.098 	Q2
"AGRICULTURE, MULTIDISCIPLINARY"	JOURNAL OF AGRICULTURAL METEOROLOGY	1.095 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	BRAGANTIA	1.058 	Q2
"AGRICULTURE, MULTIDISCIPLINARY"	OUTLOOK ON AGRICULTURE	1.043 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	SPANISH JOURNAL OF AGRICULTURAL RESEARCH	1.035 	Q2
"AGRICULTURE, MULTIDISCIPLINARY"	Zemdirbyste-Agriculture	1.020 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	Icelandic Agricultural Sciences	1.000 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	Chilean Journal of Agricultural Research	0.991 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH	0.956 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	Journal of Plant Diseases and Protection	0.946 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	Journal of Agricultural Science and Technology	0.828 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	GRASSLAND SCIENCE	0.806 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY	0.802 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	Revista Ciencia Agronomica	0.785 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	CAHIERS AGRICULTURES	0.780 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	PESQUISA AGROPECUARIA BRASILEIRA	0.668 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	New Medit	0.652 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	IRISH JOURNAL OF AGRICULTURAL AND FOOD RESEARCH	0.645 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	PAKISTAN JOURNAL OF AGRICULTURAL SCIENCES	0.618 	Q3
"AGRICULTURE, MULTIDISCIPLINARY"	Journal of Animal and Plant Sciences	0.529 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY	0.484 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	Landbauforschung	0.406 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	Bioscience Journal	0.375 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	Semina-Ciencias Agrarias	0.370 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	AGROCIENCIA	0.370 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	BERICHTE UBER LANDWIRTSCHAFT	0.367 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	PHILIPPINE AGRICULTURAL SCIENTIST	0.346	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	Agrarforschung Schweiz	0.342 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	Ciencia e Investigacion Agraria	0.307 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	AGRICULTURAL HISTORY	0.278 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	Tarim Bilimleri Dergisi-Journal of Agricultural Sciences	0.269 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	INDIAN JOURNAL OF AGRICULTURAL SCIENCES	0.253 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY	0.216 	Q4
"AGRICULTURE, MULTIDISCIPLINARY"	Cuadernos de Desarrollo Rural	0.087 	Q4
AGRONOMY	Global Change Biology Bioenergy	4.849 	Q2
AGRONOMY	Agronomy for Sustainable Development	4.263 	Q1
AGRONOMY	INDUSTRIAL CROPS AND PRODUCTS	4.191 	Q1
AGRONOMY	AGRICULTURAL AND FOREST METEOROLOGY	4.189 	Q1
AGRONOMY	POSTHARVEST BIOLOGY AND TECHNOLOGY	3.927 	Q1
AGRONOMY	THEORETICAL AND APPLIED GENETICS	3.926 	Q1
AGRONOMY	FIELD CROPS RESEARCH	3.868 	Q1
AGRONOMY	Advances in Agronomy	3.600 	Q1
AGRONOMY	AGRICULTURAL WATER MANAGEMENT	3.542 	Q1
AGRONOMY	Rice	3.513 	Q2
AGRONOMY	EUROPEAN JOURNAL OF AGRONOMY	3.384 	Q1
AGRONOMY	PLANT AND SOIL	3.259 	Q1
AGRONOMY	PEST MANAGEMENT SCIENCE	3.255 	Q1
AGRONOMY	Crop Journal	3.179 	Q3
AGRONOMY	JOURNAL OF AGRONOMY AND CROP SCIENCE	2.960 	Q2
AGRONOMY	PLANT PATHOLOGY	2.493 	Q1
AGRONOMY	IRRIGATION SCIENCE	2.440 	Q2
AGRONOMY	Rice Science	2.370 	Q3
AGRONOMY	Agronomy-Basel	2.259 	Q3
AGRONOMY	CROP PROTECTION	2.172 	Q1
AGRONOMY	EXPERIMENTAL AGRICULTURE	2.089 	Q2
AGRONOMY	JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE	2.057 	Q1
AGRONOMY	WEED SCIENCE	2.000 	Q2
AGRONOMY	PHYTOPATHOLOGIA MEDITERRANEA	1.974 	Q2
AGRONOMY	MOLECULAR BREEDING	1.862 	Q2
AGRONOMY	WEED RESEARCH	1.857 	Q2
AGRONOMY	GRASS AND FORAGE SCIENCE	1.814 	Q2
AGRONOMY	AGRONOMY JOURNAL	1.805 	Q2
AGRONOMY	AGROFORESTRY SYSTEMS	1.792 	Q2
AGRONOMY	EUROPEAN JOURNAL OF PLANT PATHOLOGY	1.744 	Q2
AGRONOMY	BREEDING SCIENCE	1.743 	Q2
AGRONOMY	Turkish Journal of Agriculture and Forestry	1.731 	Q2
AGRONOMY	Archives of Agronomy and Soil Science	1.681 	Q2
AGRONOMY	CROP SCIENCE	1.644 	Q2
AGRONOMY	EUPHYTICA	1.527 	Q2
AGRONOMY	PLANT PROTECTION SCIENCE	1.464 	Q4
AGRONOMY	WEED TECHNOLOGY	1.384 	Q2
AGRONOMY	PLANT SOIL AND ENVIRONMENT	1.337 	Q2
AGRONOMY	GENETIC RESOURCES AND CROP EVOLUTION	1.296 	Q2
AGRONOMY	Paddy and Water Environment	1.264 	Q4
AGRONOMY	PLANT BREEDING	1.251 	Q2
AGRONOMY	BIOLOGICAL AGRICULTURE & HORTICULTURE	1.239 	Q3
AGRONOMY	BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT	1.235 	Q3
AGRONOMY	PLANT PRODUCTION SCIENCE	1.230 	Q2
AGRONOMY	International Agrophysics	1.227 	Q3
AGRONOMY	AMERICAN JOURNAL OF POTATO RESEARCH	1.095 	Q3
AGRONOMY	IRRIGATION AND DRAINAGE	1.027 	Q3
AGRONOMY	Crop Breeding and Applied Biotechnology	1.026 	Q3
AGRONOMY	Sugar Tech	1.024 	Q3
AGRONOMY	WEED BIOLOGY AND MANAGEMENT	1.000 	Q4
AGRONOMY	Chilean Journal of Agricultural Research	0.991 	Q3
AGRONOMY	CANADIAN JOURNAL OF PLANT SCIENCE	0.986 	Q3
AGRONOMY	Italian Journal of Agronomy	0.965 	Q3
AGRONOMY	International Journal of Plant Production	0.961 	Q4
AGRONOMY	Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia	0.933 	Q4
AGRONOMY	Emirates Journal of Food and Agriculture	0.921 	Q3
AGRONOMY	POTATO RESEARCH	0.863 	Q3
AGRONOMY	MYCOBIOLOGY	0.848 	Q3
AGRONOMY	ACTA SCIENTIARUM-AGRONOMY	0.842 	Q3
AGRONOMY	ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE	0.810 	Q3
AGRONOMY	GRASSLAND SCIENCE	0.806 	Q4
AGRONOMY	Gesunde Pflanzen	0.789 	Q4
AGRONOMY	CAHIERS AGRICULTURES	0.780 	Q3
AGRONOMY	ALLELOPATHY JOURNAL	0.729 	Q3
AGRONOMY	NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE	0.727 	Q3
AGRONOMY	Journal of Seed Science	0.724 	Q4
AGRONOMY	CEREAL RESEARCH COMMUNICATIONS	0.708 	Q4
AGRONOMY	Journal of Plant Registrations	0.692 	Q4
AGRONOMY	Turkish Journal of Field Crops	0.690 	Q4
AGRONOMY	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	0.687 	Q4
AGRONOMY	Czech Journal of Genetics and Plant Breeding	0.652 	Q4
AGRONOMY	Journal of Agrometeorology	0.644 	Q4
AGRONOMY	MAYDICA	0.578 	Q4
AGRONOMY	Revista Caatinga	0.554 	Q4
AGRONOMY	CIENCIA RURAL	0.553 	Q4
AGRONOMY	SEED SCIENCE AND TECHNOLOGY	0.508 	Q4
AGRONOMY	Romanian Agricultural Research	0.469 	Q4
AGRONOMY	Genetika-Belgrade	0.459 	Q4
AGRONOMY	Tropical Grasslands-Forrajes Tropicales	0.441 	Q4
AGRONOMY	Bioscience Journal	0.375 	Q4
AGRONOMY	ITEA-Informacion Tecnica Economica Agraria	0.346 	Q4
AGRONOMY	Bioagro	0.340 	Q4
AGRONOMY	Legume Research	0.336 	Q4
AGRONOMY	Revista Fitotecnia Mexicana	0.326 	Q4
AGRONOMY	Revista de la Facultad de Agronomia de la Universidad del Zulia	0.204 	Q4
AGRONOMY	JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY	0.204 	Q4
AGRONOMY	Philippine Journal of Crop Science	0.135 	Q4
AGRONOMY	INTERNATIONAL SUGAR JOURNAL	0.121 	Q4
AGRONOMY	Range Management and Agroforestry	0.103 	Q4
ALLERGY	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	14.110 	Q1
ALLERGY	Journal of Allergy and Clinical Immunology-In Practice	7.550 	Q2
ALLERGY	CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY	7.328 	Q2
ALLERGY	ALLERGY	6.771 	Q1
ALLERGY	CONTACT DERMATITIS	5.504 	Q1
ALLERGY	Allergy Asthma & Immunology Research	5.026 	Q3
ALLERGY	CLINICAL AND EXPERIMENTAL ALLERGY	4.741 	Q2
ALLERGY	PEDIATRIC ALLERGY AND IMMUNOLOGY	4.654 	Q2
ALLERGY	Clinical and Translational Allergy	4.232 	Q4
ALLERGY	CURRENT ALLERGY AND ASTHMA REPORTS	3.982 	Q2
ALLERGY	ALLERGOLOGY INTERNATIONAL	3.965 	Q3
ALLERGY	JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY	3.802 	Q2
ALLERGY	World Allergy Organization Journal	3.684 	Q3
ALLERGY	ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY	3.560 	Q3
ALLERGY	Current Opinion in Allergy and Clinical Immunology	3.014 	Q3
ALLERGY	INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY	2.932 	Q3
ALLERGY	IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA	2.788 	Q3
ALLERGY	Allergy Asthma and Clinical Immunology	2.664 	Q3
ALLERGY	ALLERGY AND ASTHMA PROCEEDINGS	2.124 	Q3
ALLERGY	JOURNAL OF ASTHMA	2.081 	Q3
ALLERGY	Postepy Dermatologii i Alergologii	1.757 	Q4
ALLERGY	ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY	1.747 	Q4
ALLERGY	ALLERGOLOGIA ET IMMUNOPATHOLOGIA	1.640 	Q4
ALLERGY	Iranian Journal of Allergy Asthma and Immunology	1.222 	Q4
ALLERGY	Pediatric Allergy Immunology and Pulmonology	0.551 	Q4
ALLERGY	Revue Francaise d Allergologie	0.262 	Q4
ALLERGY	ALLERGOLOGIE	0.150 	Q4
ANATOMY & MORPHOLOGY	Brain Structure & Function	3.622 	Q1
ANATOMY & MORPHOLOGY	Frontiers in Neuroanatomy	2.923 	Q2
ANATOMY & MORPHOLOGY	DEVELOPMENTAL DYNAMICS	2.852 	Q1
ANATOMY & MORPHOLOGY	JOURNAL OF ANATOMY	2.638 	Q1
ANATOMY & MORPHOLOGY	Advances in Anatomy Embryology and Cell Biology	2.345 	Q4
ANATOMY & MORPHOLOGY	ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER	2.241 	Q3
ANATOMY & MORPHOLOGY	APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY	1.863 	Q3
ANATOMY & MORPHOLOGY	CLINICAL ANATOMY	1.813 	Q2
ANATOMY & MORPHOLOGY	ANATOMICAL SCIENCE INTERNATIONAL	1.566 	Q4
ANATOMY & MORPHOLOGY	JOURNAL OF MORPHOLOGY	1.558 	Q2
